date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
01-01-2015,Quarter1,sweing,Thursday,8,0.8,26.16,1009,7080,98,0,0,0,59,0.940725424
01-01-2015,Quarter1,finishing ,Thursday,1,0.75,3.94,1056,960,0,0,0,0,8,0.8865
01-01-2015,Quarter1,sweing,Thursday,11,0.8,11.41,953,3660,50,0,0,0,30.5,0.800570492
01-01-2015,Quarter1,sweing,Thursday,12,0.8,11.41,948,3660,50,0,0,0,30.5,0.800570492
01-01-2015,Quarter1,sweing,Thursday,6,0.8,25.9,905,1920,50,0,0,0,56,0.800381944
01-01-2015,Quarter1,sweing,Thursday,7,0.8,25.9,1168,6720,38,0,0,0,56,0.800125
01-01-2015,Quarter1,finishing ,Thursday,2,0.75,3.94,1139,960,0,0,0,0,8,0.755166667
01-01-2015,Quarter1,sweing,Thursday,3,0.75,28.08,919,6900,45,0,0,0,57.5,0.753683478
01-01-2015,Quarter1,sweing,Thursday,2,0.75,19.87,1020,6000,34,0,0,0,55,0.753097531
01-01-2015,Quarter1,sweing,Thursday,1,0.75,28.08,988,6900,45,0,0,0,57.5,0.750427826
01-01-2015,Quarter1,sweing,Thursday,9,0.7,28.08,1060,6900,44,0,0,0,57.5,0.721126957
01-01-2015,Quarter1,sweing,Thursday,10,0.75,19.31,1004,6480,45,0,0,0,54,0.712205247
01-01-2015,Quarter1,sweing,Thursday,5,0.8,11.41,1081,3660,50,0,0,0,30.5,0.707045902
01-01-2015,Quarter1,finishing ,Thursday,10,0.65,3.94,904,960,0,0,0,0,8,0.705916667
01-01-2015,Quarter1,finishing ,Thursday,8,0.75,2.9,918,960,0,0,0,0,8,0.676666667
01-01-2015,Quarter1,finishing ,Thursday,4,0.75,3.94,981,2160,0,0,0,0,18,0.593055556
01-01-2015,Quarter1,finishing ,Thursday,7,0.8,2.9,922,960,0,0,0,0,8,0.540729167
01-01-2015,Quarter1,sweing,Thursday,4,0.65,23.69,899,7200,0,0,0,0,60,0.52118
01-01-2015,Quarter1,finishing,Thursday,11,0.7,4.15,1137,1440,0,0,0,0,12,0.436326389
01-03-2015,Quarter1,finishing ,Saturday,4,0.8,4.15,1075,6600,0,0,0,0,20,0.988024691
01-03-2015,Quarter1,finishing ,Saturday,11,0.75,2.9,1108,5640,0,0,0,0,17,0.987880435
01-03-2015,Quarter1,finishing ,Saturday,9,0.8,4.15,1129,960,0,0,0,0,8,0.956270833
01-03-2015,Quarter1,finishing ,Saturday,3,0.75,3.94,928,1560,0,0,0,0,8,0.945277778
01-03-2015,Quarter1,finishing ,Saturday,1,0.8,3.94,940,960,0,0,0,0,8,0.902916667
01-03-2015,Quarter1,sweing,Saturday,1,0.8,28.08,997,6300,50,0,0,0,56.5,0.800725314
01-03-2015,Quarter1,sweing,Saturday,3,0.8,28.08,1134,6540,50,0,0,0,54.5,0.800322936
01-03-2015,Quarter1,sweing,Saturday,8,0.8,26.16,999,7080,50,0,0,0,59,0.800318644
01-03-2015,Quarter1,sweing,Saturday,12,0.8,26.16,1091,7080,63,0,0,0,59,0.800318644
01-03-2015,Quarter1,sweing,Saturday,11,0.8,11.61,930,7080,50,0,0,0,29.5,0.800237288
01-03-2015,Quarter1,sweing,Saturday,5,0.8,11.61,1165,7080,50,0,0,0,31.5,0.800148649
01-03-2015,Quarter1,sweing,Saturday,6,0.8,25.9,1099,6720,50,0,0,0,56,0.800125
01-03-2015,Quarter1,sweing,Saturday,7,0.8,25.9,994,6720,38,0,0,0,56,0.800125
01-03-2015,Quarter1,sweing,Saturday,10,0.75,19.31,1167,6480,56,0,0,0,54,0.787299691
01-03-2015,Quarter1,finishing ,Saturday,2,0.8,4.15,979,960,0,0,0,0,8,0.782447917
01-03-2015,Quarter1,sweing,Saturday,2,0.75,19.87,1134,6600,45,0,0,0,55,0.75024303
01-03-2015,Quarter1,finishing ,Saturday,10,0.7,4.15,1108,960,0,0,0,0,8,0.7018125
01-03-2015,Quarter1,sweing,Saturday,4,0.7,23.69,1141,13800,0,0,0,0,60,0.700134038
01-03-2015,Quarter1,sweing,Saturday,9,0.7,28.08,1157,6900,40,0,0,0,57.5,0.699965217
01-03-2015,Quarter1,finishing ,Saturday,8,0.8,2.9,1159,960,0,0,0,0,8,0.628333333
01-03-2015,Quarter1,finishing ,Saturday,7,0.8,3.94,898,960,0,0,0,0,8,0.6253125
01-04-2015,Quarter1,finishing ,Sunday,3,0.75,4.15,945,1560,0,0,0,0,8,0.991388889
01-04-2015,Quarter1,finishing ,Sunday,9,0.8,3.94,996,960,0,0,0,0,8,0.931645833
01-04-2015,Quarter1,finishing ,Sunday,1,0.8,3.94,1143,960,0,0,0,0,8,0.915229167
01-04-2015,Quarter1,sweing,Sunday,6,0.8,11.61,932,6975,50,0,0,0,31,0.879714482
01-04-2015,Quarter1,finishing ,Sunday,4,0.8,3.94,1057,6600,0,0,0,0,20,0.861679012
01-04-2015,Quarter1,sweing,Sunday,9,0.8,26.16,983,7080,60,0,0,0,59,0.850569492
01-04-2015,Quarter1,sweing,Sunday,7,0.8,25.9,1041,7020,60,0,0,0,56.5,0.850436438
01-04-2015,Quarter1,sweing,Sunday,8,0.8,25.9,1034,6780,45,0,0,0,56.5,0.850345133
01-04-2015,Quarter1,sweing,Sunday,4,0.8,28.08,1100,4260,50,0,0,0,55.5,0.800598058
01-04-2015,Quarter1,sweing,Sunday,1,0.8,26.16,918,7080,63,0,0,0,59,0.800318644
01-04-2015,Quarter1,sweing,Sunday,2,0.8,28.08,1127,6660,50,0,0,0,55.5,0.800237838
01-04-2015,Quarter1,sweing,Sunday,12,0.8,11.61,980,6975,50,0,0,0,31,0.800030199
01-04-2015,Quarter1,finishing ,Sunday,2,0.8,3.94,1056,960,0,0,0,0,8,0.792104167
01-04-2015,Quarter1,finishing ,Sunday,10,0.7,3.94,993,4320,0,0,0,0,18,0.759228395
01-04-2015,Quarter1,sweing,Sunday,11,0.75,19.31,1089,6480,45,0,0,0,54,0.750348457
01-04-2015,Quarter1,sweing,Sunday,3,0.75,19.87,1121,6600,45,0,0,0,55,0.75024303
01-04-2015,Quarter1,sweing,Sunday,10,0.7,28.08,1002,6900,40,0,0,0,57.5,0.699965217
01-04-2015,Quarter1,finishing ,Sunday,8,0.8,2.9,1059,960,0,0,0,0,8,0.682708333
01-04-2015,Quarter1,finishing ,Sunday,7,0.8,2.9,1135,960,0,0,0,0,8,0.667604167
01-04-2015,Quarter1,sweing,Sunday,5,0.7,45.67,1130,6960,26,0,0,0,58,0.603432184
01-04-2015,Quarter1,finishing ,Sunday,11,0.75,4.15,1017,960,0,0,0,0,8,0.345833333
01-05-2015,Quarter1,finishing ,Monday,1,0.8,3.94,926,1920,0,0,0,0,8,0.961059028
01-05-2015,Quarter1,finishing ,Monday,11,0.8,3.94,1108,2400,0,0,0,0,10,0.939513889
01-05-2015,Quarter1,finishing ,Monday,4,0.8,3.94,933,3840,0,0,0,0,16,0.893663194
01-05-2015,Quarter1,finishing ,Monday,3,0.75,4.15,1063,1920,0,0,0,0,8,0.875390625
01-05-2015,Quarter1,sweing,Monday,9,0.8,26.16,957,7080,75,0,0,0,59,0.850569492
01-05-2015,Quarter1,finishing ,Monday,9,0.8,2.9,938,1920,0,0,0,0,8,0.820833333
01-05-2015,Quarter1,finishing ,Monday,2,0.8,3.94,1134,960,0,0,0,0,8,0.804416667
01-05-2015,Quarter1,sweing,Monday,7,0.8,25.9,1061,6780,50,0,0,0,56.5,0.800684366
01-05-2015,Quarter1,sweing,Monday,8,0.8,25.9,944,6780,38,0,0,0,56.5,0.800684366
01-05-2015,Quarter1,sweing,Monday,1,0.8,26.16,1009,7080,63,0,0,0,59,0.800318644
01-05-2015,Quarter1,sweing,Monday,11,0.8,19.31,1120,4800,50,0,0,0,55,0.800250962
01-05-2015,Quarter1,sweing,Monday,6,0.8,11.61,1029,7200,50,0,0,0,32,0.800246011
01-05-2015,Quarter1,sweing,Monday,12,0.8,11.61,932,7200,50,0,0,0,32,0.800246011
01-05-2015,Quarter1,sweing,Monday,2,0.8,28.08,908,6900,50,0,0,0,57.5,0.800076522
01-05-2015,Quarter1,sweing,Monday,4,0.8,28.08,1140,6900,50,0,0,0,57.5,0.800076522
01-05-2015,Quarter1,finishing ,Monday,10,0.75,2.9,1074,960,0,0,0,0,8,0.763375
01-05-2015,Quarter1,finishing ,Monday,5,0.6,2.9,992,960,0,0,0,0,8,0.759270833
01-05-2015,Quarter1,sweing,Monday,10,0.75,28.08,997,7020,45,0,0,0,58.5,0.7504
01-05-2015,Quarter1,sweing,Monday,3,0.75,19.87,1041,6600,45,0,0,0,55,0.75024303
01-05-2015,Quarter1,finishing ,Monday,7,0.8,3.94,942,960,0,0,0,0,8,0.676666667
01-05-2015,Quarter1,finishing ,Monday,8,0.8,2.9,914,960,0,0,0,0,8,0.664583333
01-05-2015,Quarter1,sweing,Monday,5,0.6,21.98,983,6960,23,0,0,0,58,0.600028736
01-06-2015,Quarter1,finishing ,Tuesday,4,0.8,3.94,1007,4440,0,0,0,0,18,0.966781346
01-06-2015,Quarter1,finishing ,Tuesday,1,0.8,3.94,1059,1440,0,0,0,0,8,0.936496212
01-06-2015,Quarter1,finishing ,Tuesday,3,0.75,4.15,1121,1800,0,0,0,0,10,0.899166667
01-06-2015,Quarter1,finishing ,Tuesday,11,0.8,4.15,1020,2700,0,0,0,0,15,0.888686869
01-06-2015,Quarter1,finishing ,Tuesday,9,0.8,3.94,986,1440,0,0,0,0,8,0.858143939
01-06-2015,Quarter1,sweing,Tuesday,1,0.8,26.16,1123,10620,75,0,0,0,59,0.850502311
01-06-2015,Quarter1,sweing,Tuesday,9,0.8,26.16,1143,10620,75,0,0,0,59,0.850502311
01-06-2015,Quarter1,finishing ,Tuesday,10,0.75,3.94,1098,1440,0,0,0,0,8,0.809640152
01-06-2015,Quarter1,finishing ,Tuesday,2,0.8,3.94,1115,1440,0,0,0,0,8,0.805909091
01-06-2015,Quarter1,sweing,Tuesday,2,0.8,28.08,1115,10350,50,0,0,0,57.5,0.800594466
01-06-2015,Quarter1,sweing,Tuesday,4,0.8,28.08,1022,10350,50,0,0,0,57.5,0.800594466
01-06-2015,Quarter1,sweing,Tuesday,3,0.8,19.87,1092,9900,50,0,0,0,55,0.800273829
01-06-2015,Quarter1,sweing,Tuesday,12,0.8,11.61,1019,5310,50,0,0,0,31.5,0.800140969
01-06-2015,Quarter1,sweing,Tuesday,7,0.8,25.9,1088,10170,38,0,0,0,56.5,0.800128721
01-06-2015,Quarter1,sweing,Tuesday,8,0.8,25.9,1023,10170,38,0,0,0,56.5,0.800128721
01-06-2015,Quarter1,sweing,Tuesday,6,0.8,11.61,903,4470,38,0,0,0,31.5,0.80007657
01-06-2015,Quarter1,sweing,Tuesday,10,0.75,28.08,1104,10530,45,0,0,0,58.5,0.750545455
01-06-2015,Quarter1,sweing,Tuesday,11,0.75,19.31,895,9900,45,0,0,0,55,0.750057851
01-06-2015,Quarter1,finishing ,Tuesday,8,0.8,2.9,923,1440,0,0,0,0,8,0.681060606
01-06-2015,Quarter1,sweing,Tuesday,5,0.65,21.98,931,10440,35,0,0,0,58,0.649983281
01-06-2015,Quarter1,finishing ,Tuesday,7,0.8,2.9,1078,1440,0,0,0,0,8,0.61625
01-07-2015,Quarter1,finishing ,Wednesday,1,0.8,3.94,1071,1440,0,0,0,0,8,0.951420455
01-07-2015,Quarter1,finishing ,Wednesday,9,0.8,3.94,1040,1440,0,0,0,0,8,0.880530303
01-07-2015,Quarter1,sweing,Wednesday,1,0.8,26.16,1022,10620,75,0,0,0,59,0.850502311
01-07-2015,Quarter1,sweing,Wednesday,9,0.8,26.16,945,10620,75,0,0,0,59,0.850502311
01-07-2015,Quarter1,sweing,Wednesday,8,0.8,25.9,1170,10170,60,0,0,0,56.5,0.850136766
01-07-2015,Quarter1,finishing ,Wednesday,3,0.75,4.15,987,2700,0,0,0,0,15,0.83
01-07-2015,Quarter1,finishing ,Wednesday,4,0.8,3.94,1167,4440,0,0,0,0,18,0.827186544
01-07-2015,Quarter1,finishing ,Wednesday,2,0.8,3.94,1036,1440,0,0,0,0,8,0.813371212
01-07-2015,Quarter1,finishing ,Wednesday,10,0.75,3.94,916,1440,0,0,0,0,8,0.805909091
01-07-2015,Quarter1,finishing ,Wednesday,7,0.8,2.9,1136,1440,0,0,0,0,8,0.804640152
01-07-2015,Quarter1,sweing,Wednesday,2,0.8,28.08,980,10350,63,0,0,0,57.5,0.800594466
01-07-2015,Quarter1,sweing,Wednesday,4,0.8,28.08,980,10350,50,0,0,0,57.5,0.800594466
01-07-2015,Quarter1,sweing,Wednesday,6,0.8,11.41,1017,5490,50,0,0,0,30.5,0.800343766
01-07-2015,Quarter1,sweing,Wednesday,3,0.8,19.87,909,9900,50,0,0,0,55,0.800273829
01-07-2015,Quarter1,sweing,Wednesday,12,0.8,11.61,1055,5670,50,0,0,0,31.5,0.800246753
01-07-2015,Quarter1,sweing,Wednesday,7,0.8,25.9,956,10170,50,0,0,0,56.5,0.800128721
01-07-2015,Quarter1,sweing,Wednesday,10,0.75,28.08,912,10530,69,0,0,0,58.5,0.8
01-07-2015,Quarter1,sweing,Wednesday,5,0.7,21.98,1155,9720,40,0,0,0,58,0.700480831
01-07-2015,Quarter1,finishing ,Wednesday,8,0.8,2.9,1148,1440,0,0,0,0,8,0.681060606
01-07-2015,Quarter1,finishing ,Wednesday,6,0.8,2.9,1147,1800,0,0,0,0,10,0.666515152
01-07-2015,Quarter1,sweing,Wednesday,11,0.8,31.83,1151,9900,40,0,0,0,55,0.412119835
01-07-2015,Quarter1,finishing ,Wednesday,5,0.7,4.15,1074,1440,0,0,0,0,8,0.330113636
01-08-2015,Quarter2,finishing ,Thursday,1,0.8,3.94,1113,1440,0,0,0,0,8,0.947689394
01-08-2015,Quarter2,finishing ,Thursday,4,0.8,3.94,1139,12600,0,0,0,0,20,0.919905405
01-08-2015,Quarter2,sweing,Thursday,9,0.8,26.16,1134,10620,88,0,0,0,59,0.900215716
01-08-2015,Quarter2,finishing ,Thursday,9,0.8,3.94,1053,1440,0,0,0,0,8,0.891723485
01-08-2015,Quarter2,sweing,Thursday,1,0.8,26.16,1052,10620,75,0,0,0,59,0.850502311
01-08-2015,Quarter2,sweing,Thursday,4,0.8,28.08,976,10530,75,0,0,0,58.5,0.850181818
01-08-2015,Quarter2,sweing,Thursday,7,0.8,25.9,1087,10170,60,0,0,0,56.5,0.850136766
01-08-2015,Quarter2,sweing,Thursday,8,0.8,25.9,1050,10170,60,0,0,0,56.5,0.850136766
01-08-2015,Quarter2,finishing ,Thursday,2,0.8,3.94,1152,1440,0,0,0,0,8,0.835757576
01-08-2015,Quarter2,finishing ,Thursday,5,0.7,4.15,1023,3840,0,0,0,0,8,0.821354167
01-08-2015,Quarter2,sweing,Thursday,2,0.8,28.08,1063,10050,63,0,0,0,58.5,0.800497246
01-08-2015,Quarter2,sweing,Thursday,3,0.8,19.87,927,9900,50,0,0,0,55,0.800273829
01-08-2015,Quarter2,sweing,Thursday,12,0.8,11.61,906,15120,63,0,0,0,31.5,0.800107143
01-08-2015,Quarter2,sweing,Thursday,6,0.8,11.41,967,14640,50,0,0,0,30.5,0.800024932
01-08-2015,Quarter2,sweing,Thursday,10,0.75,28.08,1095,10530,69,0,0,0,58.5,0.8
01-08-2015,Quarter2,finishing ,Thursday,10,0.75,3.94,1021,1440,0,0,0,0,8,0.779791667
01-08-2015,Quarter2,finishing ,Thursday,8,0.8,2.9,1124,1440,0,0,0,0,8,0.735984848
01-08-2015,Quarter2,finishing ,Thursday,3,0.75,4.15,1025,2160,0,0,0,0,12,0.712626263
01-08-2015,Quarter2,finishing ,Thursday,7,0.8,2.9,1042,1440,0,0,0,0,8,0.681060606
01-08-2015,Quarter2,finishing ,Thursday,11,0.8,4.15,1162,900,0,0,0,0,5,0.515606061
01-08-2015,Quarter2,sweing,Thursday,11,0.35,12.52,1131,25920,38,0,0,0,54,0.349951389
01-08-2015,Quarter2,sweing,Thursday,5,0.7,42.41,967,10260,0,0,0,0,57,0.233705476
01-10-2015,Quarter2,finishing ,Saturday,1,0.8,3.94,917,2160,0,0,0,0,8,0.985
01-10-2015,Quarter2,finishing ,Saturday,3,0.75,4.15,1074,2760,0,0,0,0,12,0.930340376
01-10-2015,Quarter2,finishing ,Saturday,4,0.8,3.94,1050,6000,0,0,0,0,20,0.911589744
01-10-2015,Quarter2,finishing ,Saturday,9,0.8,3.94,1121,1440,0,0,0,0,8,0.858143939
01-10-2015,Quarter2,sweing,Saturday,9,0.8,26.16,991,10620,75,0,0,0,59,0.851174114
01-10-2015,Quarter2,sweing,Saturday,7,0.8,25.9,957,10170,60,0,0,0,56.5,0.850136766
01-10-2015,Quarter2,sweing,Saturday,8,0.8,25.9,971,10170,60,0,0,0,56.5,0.850136766
01-10-2015,Quarter2,finishing ,Saturday,10,0.8,3.94,1111,1440,0,0,0,0,8,0.846950758
01-10-2015,Quarter2,finishing ,Saturday,11,0.8,4.15,1093,1440,0,0,0,0,8,0.817424242
01-10-2015,Quarter2,finishing ,Saturday,2,0.8,3.94,1113,1440,0,0,0,0,8,0.817102273
01-10-2015,Quarter2,sweing,Saturday,4,0.8,28.08,1063,10440,63,0,0,0,58,0.801028213
01-10-2015,Quarter2,sweing,Saturday,2,0.8,28.08,986,10350,63,0,0,0,57.5,0.800594466
01-10-2015,Quarter2,sweing,Saturday,12,0.8,11.61,1122,4710,50,0,0,0,31.5,0.800346445
01-10-2015,Quarter2,sweing,Saturday,6,0.8,11.41,915,5490,50,0,0,0,30.5,0.800343766
01-10-2015,Quarter2,sweing,Saturday,1,0.8,26.16,1150,10620,63,0,0,0,59,0.800117103
01-10-2015,Quarter2,sweing,Saturday,10,0.8,28.08,924,10530,63,0,0,0,58.5,0.8
01-10-2015,Quarter2,sweing,Saturday,3,0.75,19.87,986,7080,45,0,0,0,56,0.750098351
01-10-2015,Quarter2,sweing,Saturday,11,0.5,12.52,1088,9540,38,0,0,0,53,0.673245283
01-10-2015,Quarter2,finishing ,Saturday,7,0.8,2.9,937,1440,0,0,0,0,8,0.670075758
01-10-2015,Quarter2,finishing ,Saturday,8,0.8,2.9,1025,1440,0,0,0,0,8,0.628882576
01-10-2015,Quarter2,sweing,Saturday,5,0.5,20.79,989,7680,0,0,0,0,56,0.388007813
01-10-2015,Quarter2,finishing ,Saturday,5,0.5,4.15,950,1440,0,0,0,0,8,0.337973485
01-11-2015,Quarter2,finishing ,Sunday,3,0.75,4.15,1007,1440,0,0,0,0,8,0.93532197
01-11-2015,Quarter2,finishing ,Sunday,4,0.8,3.94,1048,3600,0,0,0,0,20,0.925643939
01-11-2015,Quarter2,sweing,Sunday,9,0.8,26.16,905,10620,88,0,0,0,59,0.900215716
01-11-2015,Quarter2,finishing ,Sunday,1,0.8,3.94,1047,1440,0,0,0,0,8,0.873068182
01-11-2015,Quarter2,finishing ,Sunday,9,0.8,3.94,1162,1440,0,0,0,0,8,0.858143939
01-11-2015,Quarter2,sweing,Sunday,1,0.8,26.16,1111,10620,75,0,0,0,59,0.850502311
01-11-2015,Quarter2,sweing,Sunday,7,0.8,25.9,1032,10170,45,0,0,0,56.5,0.850136766
01-11-2015,Quarter2,sweing,Sunday,8,0.8,25.9,1065,10170,60,0,0,0,56.5,0.850136766
01-11-2015,Quarter2,finishing ,Sunday,10,0.8,3.94,1156,1440,0,0,0,0,8,0.828295455
01-11-2015,Quarter2,finishing ,Sunday,2,0.8,3.94,1147,1440,0,0,0,0,8,0.820833333
01-11-2015,Quarter2,sweing,Sunday,6,0.8,11.41,1064,5490,50,0,0,0,30.5,0.800343766
01-11-2015,Quarter2,sweing,Sunday,12,0.8,11.61,990,5670,50,0,0,0,31.5,0.800246753
01-11-2015,Quarter2,sweing,Sunday,2,0.8,28.08,1120,10530,63,0,0,0,58.5,0.8
01-11-2015,Quarter2,sweing,Sunday,10,0.8,28.08,1033,10530,38,0,0,0,58.5,0.8
01-11-2015,Quarter2,sweing,Sunday,3,0.8,19.87,918,6420,0,0,0,0,55,0.690182815
01-11-2015,Quarter2,finishing ,Sunday,11,0.8,4.15,1070,1440,0,0,0,0,8,0.668087121
01-11-2015,Quarter2,finishing ,Sunday,8,0.8,2.9,893,1440,0,0,0,0,8,0.653598485
01-11-2015,Quarter2,finishing ,Sunday,5,0.5,4.15,1014,1440,0,0,0,0,8,0.609138258
01-11-2015,Quarter2,sweing,Sunday,11,0.6,12.52,986,9540,30,0,0,0,53,0.600229846
01-11-2015,Quarter2,finishing ,Sunday,6,0.8,2.9,1059,1440,0,0,0,0,8,0.597348485
01-11-2015,Quarter2,finishing ,Sunday,7,0.8,2.9,1039,1440,0,0,0,0,8,0.590435606
01-11-2015,Quarter2,sweing,Sunday,4,0.8,50.48,1112,10440,0,0,0,0,58,0.473134796
01-11-2015,Quarter2,sweing,Sunday,5,0.6,20.79,1117,7980,0,0,0,0,57,0.452979626
01-12-2015,Quarter2,finishing ,Monday,1,0.8,3.94,978,1440,0,0,0,0,8,0.955151515
01-12-2015,Quarter2,finishing ,Monday,4,0.35,4.3,999,3240,0,0,0,0,18,0.942213805
01-12-2015,Quarter2,finishing ,Monday,3,0.8,4.15,1056,1800,0,0,0,0,10,0.905454545
01-12-2015,Quarter2,finishing ,Monday,2,0.8,3.94,1127,1440,0,0,0,0,8,0.880530303
01-12-2015,Quarter2,finishing ,Monday,9,0.8,3.94,1134,1440,0,0,0,0,8,0.858143939
01-12-2015,Quarter2,sweing,Monday,1,0.8,26.16,932,8220,75,0,0,0,59,0.850522167
01-12-2015,Quarter2,sweing,Monday,9,0.8,26.16,1143,10620,75,0,0,0,59,0.850502311
01-12-2015,Quarter2,sweing,Monday,7,0.8,25.9,980,10170,60,0,0,0,56.5,0.850136766
01-12-2015,Quarter2,sweing,Monday,8,0.8,25.9,1128,10170,60,0,0,0,56.5,0.850136766
01-12-2015,Quarter2,finishing ,Monday,6,0.8,2.9,898,1440,0,0,0,0,8,0.817424242
01-12-2015,Quarter2,finishing ,Monday,5,0.65,4.15,1083,1440,0,0,0,0,8,0.809564394
01-12-2015,Quarter2,sweing,Monday,3,0.8,19.87,1040,9900,0,0,0,0,55,0.800273829
01-12-2015,Quarter2,sweing,Monday,6,0.8,11.41,1043,5670,50,0,0,0,31.5,0.800181818
01-12-2015,Quarter2,sweing,Monday,12,0.8,11.61,1083,4470,50,0,0,0,31.5,0.80007657
01-12-2015,Quarter2,sweing,Monday,2,0.8,28.08,1003,10530,63,0,0,0,58.5,0.8
01-12-2015,Quarter2,finishing ,Monday,8,0.8,2.9,989,1440,0,0,0,0,8,0.725
01-12-2015,Quarter2,sweing,Monday,10,0.8,50.48,1056,6930,45,0,0,0,58.5,0.688557555
01-12-2015,Quarter2,sweing,Monday,5,0.65,20.79,1119,8460,0,0,0,0,59,0.650040783
01-12-2015,Quarter2,sweing,Monday,11,0.65,12.52,1124,9540,44,0,0,0,53,0.64998056
01-12-2015,Quarter2,finishing ,Monday,7,0.8,2.9,1145,1440,0,0,0,0,8,0.648106061
01-12-2015,Quarter2,finishing ,Monday,11,0.8,4.15,1012,1440,0,0,0,0,8,0.640577652
01-12-2015,Quarter2,sweing,Monday,4,0.35,22.4,1001,7350,0,0,0,0,51.5,0.35063299
01-12-2015,Quarter2,finishing ,Monday,10,0.8,3.94,937,1440,0,0,0,0,8,0.24625
1/13/2015,Quarter2,finishing ,Tuesday,4,0.35,4.3,1026,2160,0,0,0,0,12,0.952020202
1/13/2015,Quarter2,finishing ,Tuesday,1,0.8,3.94,1100,1440,0,0,0,0,2,0.951420455
1/13/2015,Quarter2,finishing ,Tuesday,10,0.8,3.94,1121,5400,0,0,0,0,20,0.912766667
1/13/2015,Quarter2,finishing ,Tuesday,3,0.8,4.15,1139,1620,0,0,0,0,9,0.901262626
1/13/2015,Quarter2,finishing ,Tuesday,9,0.8,3.94,1151,1440,0,0,0,0,8,0.858143939
1/13/2015,Quarter2,sweing,Tuesday,1,0.8,26.16,903,10620,75,0,0,0,59,0.850502311
1/13/2015,Quarter2,sweing,Tuesday,9,0.8,26.16,1058,10620,75,0,0,0,59,0.850502311
1/13/2015,Quarter2,sweing,Tuesday,8,0.8,25.9,1085,10260,60,0,0,0,57,0.850252525
1/13/2015,Quarter2,sweing,Tuesday,7,0.8,25.9,1161,10170,60,0,0,0,56.5,0.850136766
1/13/2015,Quarter2,finishing ,Tuesday,5,0.65,4.15,962,1440,0,0,0,0,8,0.821354167
1/13/2015,Quarter2,finishing ,Tuesday,2,0.8,3.94,1067,1440,0,0,0,0,8,0.805909091
1/13/2015,Quarter2,sweing,Tuesday,6,0.8,11.61,928,5670,50,0,0,0,31.5,0.800246753
1/13/2015,Quarter2,sweing,Tuesday,12,0.8,11.61,1057,5670,50,0,0,0,31.5,0.800246753
1/13/2015,Quarter2,sweing,Tuesday,2,0.8,28.08,1035,10530,50,0,0,0,58.5,0.8
1/13/2015,Quarter2,sweing,Tuesday,3,0.8,42.27,1126,9900,54,0,0,0,55,0.705576584
1/13/2015,Quarter2,finishing ,Tuesday,8,0.8,2.9,1176,1440,0,0,0,0,8,0.681060606
1/13/2015,Quarter2,finishing ,Tuesday,7,0.8,2.9,1076,1440,0,0,0,0,8,0.670075758
1/13/2015,Quarter2,finishing ,Tuesday,11,0.8,4.15,1029,1440,0,0,0,0,8,0.601278409
1/13/2015,Quarter2,sweing,Tuesday,11,0.7,27.13,1026,9540,37,0,0,0,53,0.582301029
